央视,#genre#
CCTV1,http://112.86.202.37:8112/JSBC_iptv/C10000037@JSBC
CCTV2,http://112.86.202.37:8112/JSBC_iptv/C10000038@JSBC
CCTV3,http://112.86.202.37:8112/JSBC_iptv/C10000220@JSBC
CCTV4,http://112.86.202.37:8112/JSBC_iptv/C10000039@JSBC
CCTV5,http://112.86.202.37:8112/JSBC_iptv/C10000221@JSBC
CCTV5+,http://112.86.202.37:8112/JSBC_iptv/C10000040@JSBC
CCTV6,http://112.86.202.37:8112/JSBC_iptv/C10000222@JSBC
CCTV7,http://112.86.202.37:8112/JSBC_iptv/C10000403@JSBC
CCTV8,http://112.86.202.37:8112/JSBC_iptv/C10000223@JSBC
CCTV9,http://112.86.202.37:8112/JSBC_iptv/C10000042@JSBC
CCTV10,http://112.86.202.37:8112/JSBC_iptv/C10000119@JSBC
CCTV11,http://112.86.202.37:8112/JSBC_iptv/C10000402@JSBC
CCTV12,http://112.86.202.37:8112/JSBC_iptv/C10000120@JSBC
CCTV13,http://112.86.202.37:8112/JSBC_iptv/C10000232@JSBC
CCTV14,http://112.86.202.37:8112/JSBC_iptv/C10000121@JSBC
CCTV15,http://112.86.202.37:8112/JSBC_iptv/C10000404@JSBC
CCTV16,http://112.86.202.37:8112/JSBC_iptv/C10000193@JSBC
CCTV17,http://112.86.202.37:8112/JSBC_iptv/C10000041@JSBC
央视精品,http://112.86.202.37:8112/JSBC_iptv/C10000209@JSBC
世界地理,http://112.86.202.37:8112/JSBC_iptv/C10000206@JSBC
兵器科技,http://112.86.202.37:8112/JSBC_iptv/C10000207@JSBC
风云剧场,http://112.86.202.37:8112/JSBC_iptv/C10000208@JSBC
央视怀旧剧场,http://112.86.202.37:8112/JSBC_iptv/C10000210@JSBC
电视指南,http://112.86.202.37:8112/JSBC_iptv/C10000203@JSBC
风云音乐,http://112.86.202.37:8112/JSBC_iptv/C10000211@JSBC
女性时尚,http://112.86.202.37:8112/JSBC_iptv/C10000212@JSBC
卫生健康,http://112.86.202.37:8112/JSBC_iptv/C10000416@JSBC
风云足球,http://112.86.202.37:8112/JSBC_iptv/C10000204@JSBC
高尔夫网球,http://112.86.202.37:8112/JSBC_iptv/C10000205@JSBC
央视台球,http://112.86.202.37:8112/JSBC_iptv/C10000217@JSBC
卫视,#genre#
湖南卫视,http://112.86.202.37:8112/JSBC_iptv/C10000043@JSBC
东方卫视,http://112.86.202.37:8112/JSBC_iptv/C10000045@JSBC
